lemma,count,per 10k,count in corpus (est)
አጠገብ,33,1.66,3300
ግቢ,33,1.66,3300
ቆይታ,33,1.66,3300
ሳተ,33,1.66,3300
ዳረገ,33,1.66,3300
ሽእል,32,1.61,3200
ትርፍ,32,1.61,3200
ደራሲ,32,1.61,3200
ስብስብ,32,1.61,3200
ምድብ,32,1.61,3200
ፈተሸ,32,1.61,3200
ርእስ,32,1.61,3200
እህት,32,1.61,3200
መሰረት,32,1.61,3200
በግ,32,1.61,3200
ቴክኒክ,32,1.61,3200
ሽያጭ,32,1.61,3200
ዲግሪ,32,1.61,3200
ሀጢአት,31,1.56,3100
መርህ,31,1.56,3100
ድምጥ,31,1.56,3100
ሰይጣን,31,1.56,3100
አዳራሽ,31,1.56,3100
ሳቀ,31,1.56,3100
ዝናብ,31,1.56,3100
ኰራ,31,1.56,3100
ተከራየ,31,1.56,3100
ዋጠ,31,1.56,3100
ቆዳ,31,1.56,3100
መገበ,31,1.56,3100
ደርግ,31,1.56,3100
በቀለ,31,1.56,3100
ዳኘ,31,1.56,3100
ድሮ,31,1.56,3100
ክስተት,31,1.56,3100
ተቀባይነት,31,1.56,3100
ቀላቀለ,31,1.56,3100
ደን,31,1.56,3100
ረዳት,31,1.56,3100
አደባባይ,31,1.56,3100
ድንጋይ,31,1.56,3100
አጠበ,31,1.56,3100
ስንት,31,1.56,3100
ጎረቤት,31,1.56,3100
ሀዋርያ,31,1.56,3100
ተንሳሳ,31,1.56,3100
ግማሽ,31,1.56,3100
መከራ,30,1.51,3000
ዳር,30,1.51,3000
አልጋ,30,1.51,3000
ፈረደ,30,1.51,3000
ዋስትና,30,1.51,3000
አሸናፊ,30,1.51,3000
ዘመቻ,30,1.51,3000
ተሀድሶ,30,1.51,3000
ግንባር,30,1.51,3000
ተልእኮ,30,1.51,3000
ዝእዝ,29,1.46,2900
ቅጣት,29,1.46,2900
ስትራቴጂ,29,1.46,2900
ናደ,29,1.46,2900
ተሽከረከረ,29,1.46,2900
እግዚአብሄር,29,1.46,2900
እጣ,29,1.46,2900
ታወሰ,29,1.46,2900
ተረጐመ,29,1.46,2900
ተስማማ,29,1.46,2900
ፈተነ,29,1.46,2900
ዛፍ,29,1.46,2900
ድርር,29,1.46,2900
አባይ,29,1.46,2900
ተደራጀ,29,1.46,2900
ህገወጥ,29,1.46,2900
ከረከረ,29,1.46,2900
አረመ,29,1.46,2900
መጠጥ,29,1.46,2900
ኮከብ,29,1.46,2900
ለካ,29,1.46,2900
ህንጻ,29,1.46,2900
ፍሬ,29,1.46,2900
አደመ,29,1.46,2900
አማ,29,1.46,2900
ቫይረስ,29,1.46,2900
አከመ,29,1.46,2900
ድንበር,28,1.41,2800
ቤተ,28,1.41,2800
አየለ,28,1.41,2800
ህልውና,28,1.41,2800
ነገሰ,28,1.41,2800
ጎርፍ,28,1.41,2800
ኮሌጅ,28,1.41,2800
አበለ,28,1.41,2800
ጥርጥር,28,1.41,2800
ተዳደረ,28,1.41,2800
ካህን,28,1.41,2800
ገጽታ,28,1.41,2800
ተጠቃሚነት,28,1.41,2800
ችሎታ,28,1.41,2800
እድር,28,1.41,2800
ይሁዳ,28,1.41,2800
ተመካ,28,1.41,2800
አዘጋጅ,28,1.41,2800
አለቃ,28,1.41,2800
ፈሰሰ,28,1.41,2800
ጫነ,28,1.41,2800
ወግ,28,1.41,2800
መጠጠ,28,1.41,2800
ውርእ,27,1.36,2700
ከተተ,27,1.36,2700
ሰነዘረ,27,1.36,2700
ተዋወቀ,27,1.36,2700
ይሄን,27,1.36,2700
ቴአትር,27,1.36,2700
ጸለየ,27,1.36,2700
ተክል,27,1.36,2700
መስከረም,27,1.36,2700
ፈጀ,27,1.36,2700
አመጽ,27,1.36,2700
ሰቀለ,27,1.36,2700
ተሰራጨ,27,1.36,2700
ፎከረ,27,1.36,2700
እውነታ,27,1.36,2700
አስቸኳይ,27,1.36,2700
ደነገገ,27,1.36,2700
ተጠቃ,27,1.36,2700
ሰኔ,27,1.36,2700
ወጋ,27,1.36,2700
ጥንት,27,1.36,2700
መስፈርት,27,1.36,2700
ከሰሰ,27,1.36,2700
ለመነ,27,1.36,2700
ሁከት,27,1.36,2700
አጋር,27,1.36,2700
ፍልስፍና,27,1.36,2700
ምሽት,26,1.31,2600
ተበጀ,26,1.31,2600
ሳመ,26,1.31,2600
ጸዳ,26,1.31,2600
ሌሊት,26,1.31,2600
ንቅናቄ,26,1.31,2600
ዘነጋ,26,1.31,2600
ገደማ,26,1.31,2600
ጆሮ,26,1.31,2600
ስታዲየም,26,1.31,2600
ስድስት,26,1.31,2600
ሰብሳቢነት,26,1.31,2600
ተጠረጠረ,26,1.31,2600
ሙሴ,26,1.31,2600
ቱሪዝም,26,1.31,2600
ጐተተ,26,1.31,2600
ጠበበ,26,1.31,2600
ሽማግሌ,26,1.31,2600
ሸሸ,25,1.26,2500
ውል,25,1.26,2500
ዘለለ,25,1.26,2500
ታክስ,25,1.26,2500
ልብስ,25,1.26,2500
ዘላለም,25,1.26,2500
ወይን,25,1.26,2500
ሰበከ,25,1.26,2500
ምስል,25,1.26,2500
ደመቀ,25,1.26,2500
ምች*,25,1.26,2500
ህልም,25,1.26,2500
በላይነት,25,1.26,2500
ቱሪስት,25,1.26,2500
ከብት,25,1.26,2500
ሂሳብ,25,1.26,2500
ዝርያ,25,1.26,2500
ጥቅስ,25,1.26,2500
ተዘወተረ,25,1.26,2500
ስፖርተኛ,25,1.26,2500
ቀሰቀሰ,25,1.26,2500
ፈረመ,25,1.26,2500
ምስጢር,25,1.26,2500
ተጋ,25,1.26,2500
ልማድ,25,1.26,2500
ጸረ,25,1.26,2500
መኪና,25,1.26,2500
ታክሲ,24,1.21,2400
አደለ,24,1.21,2400
ዜማ,24,1.21,2400
ክህሎት,24,1.21,2400
ማረከ,24,1.21,2400
ስጦታ,24,1.21,2400
ስኳር,24,1.21,2400
ጸሎት,24,1.21,2400
አምራች,24,1.21,2400
ጐለበተ,24,1.21,2400
ጸሀይ,24,1.21,2400
ነሀስ,24,1.21,2400
አማርኛ,24,1.21,2400
ማህጸን,24,1.21,2400
ጸጥታ,24,1.21,2400
ጉብኝት,24,1.21,2400
አክሲዮን,24,1.21,2400
ዘፈን,24,1.21,2400
ጀርባ,24,1.21,2400
ፍጻሜ,24,1.21,2400
ይህንን,24,1.21,2400
ክርክር,24,1.21,2400
ንውውእ,24,1.21,2400
ተራመደ,24,1.21,2400
ተጠጋ,24,1.21,2400
ካሳ,24,1.21,2400
ይቺ,24,1.21,2400
ውግእ,24,1.21,2400
ሰብል,24,1.21,2400
ዘራ,23,1.16,2300
ፕሬስ,23,1.16,2300
ችሎት,23,1.16,2300
ጫረ,23,1.16,2300
ተሸከመ,23,1.16,2300
እህል,23,1.16,2300
ጭማሪ,23,1.16,2300
ኬሚካል,23,1.16,2300
ጣሰ,23,1.16,2300
አስተዋለ,23,1.16,2300
ተመቸ,23,1.16,2300
ተኛ,23,1.16,2300
ጸጉር,23,1.16,2300
ረካ,23,1.16,2300
ሰበረ,23,1.16,2300
ደመወዝ,23,1.16,2300
ይዘት,23,1.16,2300
ኦሎምፒክ,23,1.16,2300
ተመኘ,23,1.16,2300
አምባሳደር,23,1.16,2300
ቁልፍ,23,1.16,2300
ዙር,23,1.16,2300
ስላሴ,23,1.16,2300
ምንድነ,23,1.16,2300
ጠመደ,23,1.16,2300
ገደብ,23,1.16,2300
ተነጋገረ,23,1.16,2300
አብነት,23,1.16,2300
ልጅነት,23,1.16,2300
ምንዛሪ,23,1.16,2300
ተቈጣ,23,1.16,2300
ቈጠበ,23,1.16,2300
በረረ,22,1.11,2200
ተበላሸ,22,1.11,2200
ፌደሬሽን,22,1.11,2200
ረሀብ,22,1.11,2200
ዶለ,22,1.11,2200
ሰነበተ,22,1.11,2200
ግርማ,22,1.11,2200
ይዞታ,22,1.11,2200
ፕሮፌሰር,22,1.11,2200
በደል,22,1.11,2200
ቀባ,22,1.11,2200
ምኞት,22,1.11,2200
ጉድ,22,1.11,2200
ደበቀ,22,1.11,2200
ዘገየ,22,1.11,2200
አፍሪካዊ,22,1.11,2200
ጥንካሬ,22,1.11,2200
እውን,22,1.11,2200
ፍጥረት,22,1.11,2200
አሳ,22,1.11,2200
ነርስ,22,1.11,2200
ተጠያቂነት,22,1.11,2200
ተቃራኒ,22,1.11,2200
አድናቆት,22,1.11,2200
ድንቅ,22,1.11,2200
ማሳ,22,1.11,2200
ስእል,22,1.11,2200
ግዴታ,22,1.11,2200
ሰልፍ,22,1.11,2200
ተቋረጠ,22,1.11,2200
አበበ,22,1.11,2200
ወንበር,22,1.11,2200
ላመ,22,1.11,2200
እኩልነት,21,1.06,2100
ወረሰ,21,1.06,2100
መንስኤ,21,1.06,2100
ፈቃደኛ,21,1.06,2100
ጨለማ,21,1.06,2100
ሸለመ,21,1.06,2100
ዋናነት,21,1.06,2100
ጥፋት,21,1.06,2100
ዝውውር,21,1.06,2100
ነጠቀ,21,1.06,2100
ዝግጅ*,21,1.06,2100
ኮርፖሬሽን,21,1.06,2100
እረፍት,21,1.06,2100
ማር,21,1.06,2100
አማካሪ,21,1.06,2100
ደበነ,21,1.06,2100
ይሄ,21,1.06,2100
ኢንተርኔት,21,1.06,2100
ጥንእ,21,1.06,2100
አማካይ,21,1.06,2100
ካፒታል,21,1.06,2100
ቁጣ,21,1.06,2100
ዩኒቨርስቲ,21,1.06,2100
ሆድ,20,1.01,2000
መቅደስ,20,1.01,2000
እጦት,20,1.01,2000
ሀምሌ,20,1.01,2000
መጋቢት,20,1.01,2000
እንቅልፍ,20,1.01,2000
አፈረ,20,1.01,2000
ተነጻጸረ,20,1.01,2000
ቁሳቁስ,20,1.01,2000
ቢዝነስ,20,1.01,2000
ተወገደ,20,1.01,2000
መሪነት,20,1.01,2000
ጮኸ,20,1.01,2000
ታጠቀ,20,1.01,2000
ዝንባሌ,20,1.01,2000
ዳቦ,20,1.01,2000
እጥፋት,20,1.01,2000
አደገኛ,20,1.01,2000
እርግዝና,20,1.01,2000
ሊቀመንበር,20,1.01,2000
ስልጣኔ,20,1.01,2000
ሳቅ,20,1.01,2000
ተጠና,20,1.01,2000
ፖለቲከኛ,20,1.01,2000
አድማስ,20,1.01,2000
ቅርስ,20,1.01,2000
አርሶአደር,20,1.01,2000
ትራፊክ,20,1.01,2000
ሽፋን,20,1.01,2000
ነፋስ,20,1.01,2000
ቀውስ,20,1.01,2000
ዘመድ,20,1.01,2000
ናቀ,20,1.01,2000
ክረምት,20,1.01,2000
ብረት,20,1.01,2000
እጥፍ,20,1.01,2000
ኩንታል,20,1.01,2000
ጥልቀት,19,0.96,1900
ይህን,19,0.96,1900
ፋይዳ,19,0.96,1900
ምናም,19,0.96,1900
አጠረ,19,0.96,1900
ካደመ,19,0.96,1900
ቱርክ,19,0.96,1900
ጠቀሜታ,19,0.96,1900
ከንቱ,19,0.96,1900
ተንከባከበ,19,0.96,1900
ካንሰር,19,0.96,1900
ወረቀት,19,0.96,1900
ውጊያ,19,0.96,1900
ሬዲዮ,19,0.96,1900
አስተናገደ,19,0.96,1900
ዘረዘረ,19,0.96,1900
ጣመ,19,0.96,1900
ኢፌዴሪ,19,0.96,1900
ተፋሰስ,19,0.96,1900
ሞተር,19,0.96,1900
አገደ,19,0.96,1900
ሲቪል,19,0.96,1900
ሳይንስ,19,0.96,1900
ትንቢት,19,0.96,1900
ወተት,19,0.96,1900
ኪሳራ,19,0.96,1900
ጥላ,19,0.96,1900
ወዳጅነት,19,0.96,1900
በረከት,19,0.96,1900
ስርጭት,19,0.96,1900
መዋቅር,19,0.96,1900
የተሰማር,19,0.96,1900
ማታ,19,0.96,1900
ወሰን,19,0.96,1900
ምርታማነት,19,0.96,1900
ስልት,19,0.96,1900
ኪስ,19,0.96,1900
ሳቢያ,19,0.96,1900
ነደለ,19,0.96,1900
አመለጠ,19,0.96,1900
ዘይት,19,0.96,1900
ስያሜ,19,0.96,1900
ቀር,18,0.91,1800
ህትመት,18,0.91,1800
ጥልቅ,18,0.91,1800
ጫማ,18,0.91,1800
ተቀዳጀ,18,0.91,1800
ማንበብ,18,0.91,1800
ፉክክር,18,0.91,1800
መዝናኛ,18,0.91,1800
ጠዳ,18,0.91,1800
ገነት,18,0.91,1800
ፈለግ,18,0.91,1800
ዳኝነት,18,0.91,1800
ግብርና,18,0.91,1800
ናፈቀ,18,0.91,1800
ፕላን,18,0.91,1800
ፈሳ,18,0.91,1800
ሚሊዮን,18,0.91,1800
መአት,18,0.91,1800
ጽንስ,18,0.91,1800
መተግበር,18,0.91,1800
አባልነት,18,0.91,1800
ጸጋ,18,0.91,1800
ልምምድ,18,0.91,1800
ቃኘ,18,0.91,1800
ጠዋት,18,0.91,1800
ዋተተ,18,0.91,1800
እባክ,18,0.91,1800
ወደብ,18,0.91,1800
ማብራሪያ,18,0.91,1800
ሀበሻ,18,0.91,1800
ሙስሊም,18,0.91,1800
ምህረት,18,0.91,1800
ሳገ,18,0.91,1800
አነጋገር,18,0.91,1800
ማእረግ,18,0.91,1800
ተአምር,18,0.91,1800
ቁርጠኝነት,18,0.91,1800
እንቁላል,18,0.91,1800
አያት,18,0.91,1800
ስንዴ,18,0.91,1800
ስደት,18,0.91,1800
አሸባሪ,18,0.91,1800
አጀበ,18,0.91,1800
ጫና,18,0.91,1800
አባ,18,0.91,1800
ሾለ,18,0.91,1800
እዳ,17,0.86,1700
ከንፈር,17,0.86,1700
ነሆ,17,0.86,1700
ጥላቻ,17,0.86,1700
ሰረረ,17,0.86,1700
ጠለለ,17,0.86,1700
ጋረ,17,0.86,1700
ካደ,17,0.86,1700
ከልብ,17,0.86,1700
ዲዛይን,17,0.86,1700
አስተባባሪ,17,0.86,1700
ፈረስ,17,0.86,1700
አርቲስት,17,0.86,1700
ላም,17,0.86,1700
ዳኛ,17,0.86,1700
ፍለጋ,17,0.86,1700
ብል,17,0.86,1700
ምትክ,17,0.86,1700
መረብ,17,0.86,1700
ሀውልት,17,0.86,1700
መልአክ,17,0.86,1700
ጥርጣሬ,17,0.86,1700
ኢንስቲትዩት,17,0.86,1700
ክንድ,17,0.86,1700
መስዋእትነት,17,0.86,1700
ኮንስትራክሽን,17,0.86,1700
ችግኝ,17,0.86,1700
ውነተኛ,17,0.86,1700
አንበሳ,17,0.86,1700
አቅራቢ,17,0.86,1700
ጽኑ,17,0.86,1700
ምስጋና,17,0.86,1700
አንዳች,17,0.86,1700
አይሁዳዊ,17,0.86,1700
ጭንቀት,17,0.86,1700
ዜግነት,16,0.81,1600
ግፍ,16,0.81,1600
አወገዘ,16,0.81,1600
ሞገተ,16,0.81,1600
እይታ,16,0.81,1600
እንጀራ,16,0.81,1600
ግንብ,16,0.81,1600
አስራ,16,0.81,1600
ናላ,16,0.81,1600
ጫፍ,16,0.81,1600
ማሽን,16,0.81,1600
ካርድ,16,0.81,1600
ጥቅልል,16,0.81,1600
ወደመ,16,0.81,1600
ማእድ,16,0.81,1600
ገታ,16,0.81,1600
አልበም,16,0.81,1600
ለገሰ,16,0.81,1600
አሸ,16,0.81,1600
ንባብ,16,0.81,1600
ድንጋጌ,16,0.81,1600
አያ,16,0.81,1600
ማእቀፍ,16,0.81,1600
ብጥብጥ,16,0.81,1600
ጾታ,16,0.81,1600
አቤቱታ,16,0.81,1600
ሰደበ,16,0.81,1600
ቁጠባ,16,0.81,1600
መዲና,16,0.81,1600
ጉድግዋድ,16,0.81,1600
ወቀረ,16,0.81,1600
ግምገማ,16,0.81,1600
ዘረፈ,16,0.81,1600
እንክብካቤ,16,0.81,1600
ጉጉት,16,0.81,1600
ሚያዝያ,16,0.81,1600
ሰርግ,16,0.81,1600
ግብይት,16,0.81,1600
ቢስክሌት,16,0.81,1600
ግዥ,16,0.81,1600
ነቢይ,16,0.81,1600
አቅራቢያ,16,0.81,1600
ደነገጠ,15,0.76,1500
ያህል,15,0.76,1500
ደማ,15,0.76,1500
አመላከተ,15,0.76,1500
አጥር,15,0.76,1500
ሎተሪ,15,0.76,1500
ተመለከ,15,0.76,1500
ቀደሰ,15,0.76,1500
ድሀ,15,0.76,1500
ስቴት,15,0.76,1500
ኢንተርፕራይዝ,15,0.76,1500
መቃብር,15,0.76,1500
ሰለሰለ,15,0.76,1500
ወረራ,15,0.76,1500
እንጨት,15,0.76,1500
በረሀ,15,0.76,1500
ባሪያ,15,0.76,1500
ሳንቲም,15,0.76,1500
ደመረ,15,0.76,1500
ቻይና,15,0.76,1500
ጥገና,15,0.76,1500
ስብከት,15,0.76,1500
ምስራች,15,0.76,1500
ኬንያዊ,15,0.76,1500
ትዝታ,15,0.76,1500
ጥቅምት,15,0.76,1500
በሳ,15,0.76,1500
ዘጠኝ,15,0.76,1500
ባዶ,15,0.76,1500
አሸናፊነት,15,0.76,1500
ጎሳ,15,0.76,1500
አዛውንት,15,0.76,1500
ተስተካከለ,15,0.76,1500
አጥንት,15,0.76,1500
ተቀናጀ,15,0.76,1500
ግግም,15,0.76,1500
ጠለቀ,15,0.76,1500
እገዳ,15,0.76,1500
መመሪያ,15,0.76,1500
አምልኮ,15,0.76,1500
ውክልና,15,0.76,1500
ገነጠለ,15,0.76,1500
ዘና,15,0.76,1500
በእዚ,15,0.76,1500
ማመንጫ,15,0.76,1500
ከወዲህ,15,0.76,1500
ተዋናይ,15,0.76,1500
አርሶ,15,0.76,1500
ከእንግዲ,15,0.76,1500
ተጨዋች,15,0.76,1500
የበኩል,15,0.76,1500
ጀገነ,15,0.76,1500
ጓዳ,15,0.76,1500
እጩ,15,0.76,1500
ሰባት,15,0.76,1500
ምጣኔ,15,0.76,1500
ክብደት,15,0.76,1500
ቅርንጫፍ,14,0.71,1400
ባለቤትነት,14,0.71,1400
ድፍረት,14,0.71,1400
ተግዳሮት,14,0.71,1400
ጥምቀት,14,0.71,1400
ዩሮ,14,0.71,1400
ኦዲት,14,0.71,1400
ተሳበ,14,0.71,1400
ጠረጴዛ,14,0.71,1400
ፎቶ,14,0.71,1400
እስራት,14,0.71,1400
ሰለባ,14,0.71,1400
ወደፊት,14,0.71,1400
ሀቅ,14,0.71,1400
ቅንጅት,14,0.71,1400
አዳም,14,0.71,1400
ልኡል,14,0.71,1400
ሰረዘ,14,0.71,1400
ዘላቂነት,14,0.71,1400
ቸረ,14,0.71,1400
ጠመቀ,14,0.71,1400
ወረወረ,14,0.71,1400
አወከ,14,0.71,1400
እጽ,14,0.71,1400
ደረቀ,14,0.71,1400
አቻ,14,0.71,1400
ክትት,14,0.71,1400
ምስክርነት,14,0.71,1400
አመራ,14,0.71,1400
ነጋ,14,0.71,1400
ፈንታ,14,0.71,1400
መስዋእት,14,0.71,1400
መጽሄት,14,0.71,1400
አርበኛ,14,0.71,1400
እንቅፋት,14,0.71,1400
አመጠ,14,0.71,1400
ስኪ,14,0.71,1400
ቀሰመ,14,0.71,1400
አለመ,14,0.71,1400
አማካይነት,14,0.71,1400
አሽከርካሪ,14,0.71,1400
ዴኤታ,14,0.71,1400
ማረረ,14,0.71,1400
ሞቀ,14,0.71,1400
አሰራር,14,0.71,1400
ደረቅ,14,0.71,1400
አህያ,14,0.71,1400
ሽብርተኝነት,14,0.71,1400
አረቀ,14,0.71,1400
ግልጽነት,14,0.71,1400
ቀበረ,14,0.71,1400
ማግስት,14,0.71,1400
አፈራ,14,0.71,1400
ምናልባት,14,0.71,1400
ሳኡዲ,14,0.71,1400
እረኛ,14,0.71,1400
ወቀሰ,14,0.71,1400
ሌላኛ,14,0.71,1400
አነበበ,14,0.71,1400
ኪዳን,14,0.71,1400
በቀል,13,0.66,1300
ሱቅ,13,0.66,1300
ነደፈ,13,0.66,1300
ባሻ,13,0.66,1300
ግንዝብ,13,0.66,1300
ጠና,13,0.66,1300
ሳጥን,13,0.66,1300
ሰይፍ,13,0.66,1300
ህዳር,13,0.66,1300
አውራ,13,0.66,1300
ይሁንታ,13,0.66,1300
ሞራል,13,0.66,1300
አምድ,13,0.66,1300
ባረከ,13,0.66,1300
ባእድ,13,0.66,1300
ቀረጥ,13,0.66,1300
እቴጌ,13,0.66,1300
አድራጎት,13,0.66,1300
ክርር,13,0.66,1300
ዲሞክራሲ,13,0.66,1300
ድክመት,13,0.66,1300
ተነተነ,13,0.66,1300
ሁዋላ,13,0.66,1300
አጽናና,13,0.66,1300
ሳር,13,0.66,1300
ዳሰሰ,13,0.66,1300
አሜሪካዊ,13,0.66,1300
ጨርቅ,13,0.66,1300
ተመቻቸ,13,0.66,1300
ህያው,13,0.66,1300
ቀመሰ,13,0.66,1300
ተደመጠ,13,0.66,1300
መስፍን,13,0.66,1300
ወፍ,13,0.66,1300
ቢቢሲ,13,0.66,1300
ግብዣ,13,0.66,1300
ኢንጂነር,13,0.66,1300
ደላላ,13,0.66,1300
ኮሚሽነር,13,0.66,1300
ህመምተኛ,13,0.66,1300
ቢራ,13,0.66,1300
ኢንተርናሽናል,13,0.66,1300
ንብብ,13,0.66,1300
ቦንድ,13,0.66,1300
አረጋዊ,13,0.66,1300
ጃፓን,13,0.66,1300
አክራሪነት,13,0.66,1300
ወለድ,13,0.66,1300
ቀንድ,13,0.66,1300
ጉድለት,13,0.66,1300
ክንፍ,13,0.66,1300
ነባር,13,0.66,1300
አናት,13,0.66,1300
ሙቀት,13,0.66,1300
ሀያል,13,0.66,1300
አንገት,13,0.66,1300
ዘፈቀ,13,0.66,1300
መዛሙርት,13,0.66,1300
ተበደረ,13,0.66,1300
እራስ,13,0.66,1300
ናረ,13,0.66,1300
ውሸት,13,0.66,1300
መሸ,13,0.66,1300
ሀሰት,13,0.66,1300
እጭ,13,0.66,1300
የትኛው,13,0.66,1300
ተሰናበተ,13,0.66,1300
ክትባት,13,0.66,1300
ወሊድ,12,0.6,1200
ሰየመ,12,0.6,1200
ስተቀር,12,0.6,1200
ደጀን,12,0.6,1200
ፍርሀት,12,0.6,1200
ቭ,12,0.6,1200
ገለበጠ,12,0.6,1200
ዶሮ,12,0.6,1200
አቅርቦት,12,0.6,1200
ዋግ,12,0.6,1200
ተሰቃየ,12,0.6,1200
ሲስተም,12,0.6,1200
ፈገግታ,12,0.6,1200
ስምር,12,0.6,1200
ቅእት,12,0.6,1200
እንግሊዝኛ,12,0.6,1200
ጄኔራል,12,0.6,1200
ጭቃ,12,0.6,1200
ተዋበ,12,0.6,1200
ፍቃድ,12,0.6,1200
ርግዝ,12,0.6,1200
ሞባይል,12,0.6,1200
አርአያ,12,0.6,1200
ምድረ,12,0.6,1200
አሳሳቢ,12,0.6,1200
ቅፍውእ,12,0.6,1200
ታዛቢ,12,0.6,1200
ፈነዳ,12,0.6,1200
ሰጋ,12,0.6,1200
እሁድ,12,0.6,1200
ማኑፋክቸሪንግ,12,0.6,1200
ከንቲባ,12,0.6,1200
ሙያተኛ,12,0.6,1200
ተኰሰ,12,0.6,1200
ድምር,12,0.6,1200
ህሙማ,12,0.6,1200
አክብሮት,12,0.6,1200
ቅእል,12,0.6,1200
አልማዝ,12,0.6,1200
ሱስ,12,0.6,1200
ቀጣይነት,12,0.6,1200
ዘመረ,12,0.6,1200
አሉባልታ,12,0.6,1200
ሹመት,12,0.6,1200
ቀልድ,12,0.6,1200
ሊትር,12,0.6,1200
ርይፍ,12,0.6,1200
ጠነነ,12,0.6,1200
ፕሬዝዳንት,12,0.6,1200
ደጅ,12,0.6,1200
አምና,12,0.6,1200
ቀልብ,12,0.6,1200
ስምንት,12,0.6,1200
ቀጠሮ,12,0.6,1200
ተገለለ,12,0.6,1200
ጠገበ,12,0.6,1200
ሰሌዳ,12,0.6,1200
ጽናት,12,0.6,1200
በከለ,12,0.6,1200
ጽንፈኛ,12,0.6,1200
ሚዛን,12,0.6,1200
ደበደበ,12,0.6,1200
ሲሚንቶ,12,0.6,1200
ወዲያውን,12,0.6,1200
አብ,12,0.6,1200
ዳያስፖራ,12,0.6,1200
ደፋ,12,0.6,1200
ቪዲዮ,12,0.6,1200
አፈነ,12,0.6,1200
ሰርቪስ,12,0.6,1200
ድግት,12,0.6,1200
አገሪት,12,0.6,1200
ልውውጥ,12,0.6,1200
መኮንን,12,0.6,1200
ፈርኦን,12,0.6,1200
ደላ,12,0.6,1200
ቅስቀሳ,12,0.6,1200
ስብሀት,12,0.6,1200
ኢዜአ,12,0.6,1200
ጠበቃ,12,0.6,1200
ውዝግብ,12,0.6,1200
ዘውድ,11,0.55,1100
አለለ,11,0.55,1100
ሰረቀ,11,0.55,1100
እባብ,11,0.55,1100
ኮንትሮባንድ,11,0.55,1100
አልሸባብ,11,0.55,1100
ኢንቨስተር,11,0.55,1100
አረብ,11,0.55,1100
ንቃት,11,0.55,1100
ቈረቈረ,11,0.55,1100
ፍራፍሬ,11,0.55,1100
ጠረገ,11,0.55,1100
መደብር,11,0.55,1100
ዘፈነ,11,0.55,1100
ቈሰለ,11,0.55,1100
ምክክር,11,0.55,1100
ኤምባሲ,11,0.55,1100
ገደበ,11,0.55,1100
ምታት,11,0.55,1100
ሰቀቀ,11,0.55,1100
አገራት,11,0.55,1100
ተቸ,11,0.55,1100
ማለዳ,11,0.55,1100
ተሳነ,11,0.55,1100
እንባ,11,0.55,1100
ተከማቸ,11,0.55,1100
በቀተ,11,0.55,1100
አፍንጫ,11,0.55,1100
ነባ,11,0.55,1100
አቀባይ,11,0.55,1100
መስኮት,11,0.55,1100
ሲሳይ,11,0.55,1100
ስቃይ,11,0.55,1100
ተነፈሰ,11,0.55,1100
ሙላት,11,0.55,1100
ገበረ,11,0.55,1100
አንጋፋ,11,0.55,1100
ተምሳሌት,11,0.55,1100
በእንዲ,11,0.55,1100
ጋረደ,11,0.55,1100
መረረ,11,0.55,1100
ወኪል,11,0.55,1100
ፊደል,11,0.55,1100
አአ,11,0.55,1100
